Country Name,Country Code,Series Name,GDP (current US$),"GDP per capita, PPP (current international $)",GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),"Central government debt, total (% of GDP)",Total reserves (% of total external debt),Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Population, total",Population growth (annual %),Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Tax revenue (% of GDP),Market capitalization of listed domestic companies (% of GDP),Market capitalization of listed domestic companies (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)"
China,CHN,2009 [YR2009],5.10169E+12,8305.760185,3832.227428,9.398725632,20.43501444,-0.728165251,-0.209533361,24.74985594,0,539.6969718,45.18487038,4.3,1331260000,0.497381401,0,75.343,0,0,0,10.30944174,70.03858917,3573150000000.00,0.461393941,2.568894327,0.860302687
China,CHN,2010 [YR2010],6.08719E+12,9254.779603,4550.473924,10.63587106,23.53174494,3.175324753,6.881380253,27.18533272,0,392.2936172,50.71707766,4.1,1337705000,0.482959689,17.2,75.599,92.71122742,97.47946167,95.1244812,10.21204861,66.16910531,4027840000000.00,0.491689064,4.003544586,0.952058059
China,CHN,2011 [YR2011],7.55155E+12,10292.94048,5614.385739,9.550832179,24.17271524,5.553898923,8.075684467,26.56818935,0,308.7312199,50.74090459,4.1,1345035000,0.546457595,12.7,75.903,0,0,0,10.31279489,45.18423905,3412110000000.00,0.545459847,3.708806704,0.641201754
China,CHN,2012 [YR2012],8.53219E+12,11168.6973,6300.582352,7.863736449,22.77500014,2.619524326,2.331217576,25.49252222,0,295.0372843,48.26752237,4.1,1354190000,0.678345459,10.2,76.192,0,0,0,10.25676868,43.33445387,3697380000000.00,0.56412867,2.827105258,0.761392092
China,CHN,2013 [YR2013],9.57047E+12,11872.49738,7020.385682,7.766150098,22.14512114,2.621050017,2.163370027,24.59925444,0,262.1026302,46.74437558,4.05,1363240000,0.666072978,8.5,76.452,0,0,0,9.907732583,41.26383816,3949140000000.00,0.591314991,3.039855032,0.762458639
China,CHN,2014 [YR2014],10475600000000.00,12480.33853,7636.074223,7.425763656,21.39515505,1.921641628,1.031063688,23.51006091,0,219.3028525,44.90521595,4.1,1371860000,0.63032639,7.2,76.717,0,0,0,9.678618827,57.32305036,6004950000000.00,0.611848325,2.55924765,1.175391033
China,CHN,2015 [YR2015],11061600000000.00,12897.50229,8016.446016,7.041328879,18.11008945,1.437023809,-0.002944094,21.35407988,0,255.3105822,39.46416934,0,1379860000,0.581456147,5.7,76.977,0,0,0,9.376920447,74.02219533,8188020000000.00,0.621550269,2.192177616,1.576545024
China,CHN,2016 [YR2016],11233300000000.00,13483.37727,8094.390375,6.848762205,17.31003496,2.000001822,1.407346027,19.58438005,0,219.0854421,36.89441502,0,1387790000,0.573050906,4.5,77.218,0,0,0,9.122915561,65.16988992,7320740000000.00,0.600323659,1.555636959,1.92663056
China,CHN,2017 [YR2017],12310500000000.00,14243.53261,8817.045496,6.947200793,17.94013625,1.593136001,4.232681975,19.69227699,0,189.8212698,37.63241324,3.9,1396215000,0.605245013,3.1,77.248,0,0,0,9.419317653,70.76295409,8711270000000.00,0.619020979,1.349123714,1.123373274
China,CHN,2018 [YR2018],13894900000000.00,15497.82574,9905.406118,6.749773832,18.45368057,2.0747904,3.499747636,19.11210354,0,161.5149347,37.5657841,4.93,1402760000,0.467672053,1.7,77.744,95.15933228,98.46653748,96.84088898,9.052685732,45.51940894,6324880000000.00,0.639148116,1.69389433,1.029345297
China,CHN,2019 [YR2019],14280000000000.00,16655.39936,10143.86021,5.950500754,17.48010372,2.899234164,1.286700408,18.40999232,0,152.4431237,35.89009603,5.15,1407745000,0.35474089,0.6,77.968,0,0,0,8.49286377,59.63251522,8515500000000.00,0.609043349,1.310715934,0.958755617
